ID,Transfers,Year
372652,3,2016
373009,3,2016
373367,3,2016
376250,3,2016
377672,3,2016
379468,3,2016
380276,3,2016
382371,3,2016
382505,3,2016
383056,3,2016
383678,3,2016
385522,3,2016
385756,3,2016
386499,3,2016
386703,3,2016
387937,3,2016
388589,3,2016
390196,3,2016
391183,3,2016
392968,3,2016
397579,3,2016
398108,3,2016
398590,3,2016
400035,3,2016
400452,3,2016
401650,3,2016
402993,3,2016
403913,3,2016
404929,3,2016
407831,3,2016
408031,3,2016
409624,3,2016
410484,3,2016
413727,3,2016
417843,3,2016
418241,3,2016
418508,3,2016
423204,3,2016
424704,3,2016
425033,3,2016
426469,3,2016
427648,3,2016
428901,3,2016
429316,3,2016
430795,3,2016
430938,3,2016
432470,3,2016
433840,3,2016
435291,3,2016
435766,3,2016
436385,3,2016
436931,3,2016
438639,3,2016
439261,3,2016
440398,3,2016
441100,3,2016
445186,3,2016
447131,3,2016
449813,3,2016
450310,3,2016
451572,3,2016
451856,3,2016
452159,3,2016
452542,3,2016
452660,3,2016
470024,3,2016
476458,3,2016
490236,3,2016
491368,3,2016
506703,3,2016
515620,3,2016
516239,3,2016
524422,3,2016
526889,3,2016
533375,3,2016
550867,3,2016
559589,3,2016
568548,3,2016
573007,3,2016
573023,3,2016
573936,3,2016
577090,3,2016
583649,3,2016
603583,3,2016
608131,3,2016
609607,3,2016
615365,3,2016
615630,3,2016
619118,3,2016
623851,3,2016
627797,3,2016
627997,3,2016
629218,3,2016
629280,3,2016
629951,3,2016
633280,3,2016
635234,3,2016
636970,3,2016
637710,3,2016
638731,3,2016
639305,3,2016
643349,3,2016
645726,3,2016
647816,3,2016
650041,3,2016
651893,3,2016
654337,3,2016
654745,3,2016
660688,3,2016
660730,3,2016
660865,3,2016
660900,3,2016
661728,3,2016
663293,3,2016
664092,3,2016
667458,3,2016
669826,3,2016
669832,3,2016
673081,3,2016
675152,3,2016
677330,3,2016
677362,3,2016
682129,3,2016
683430,3,2016
684125,3,2016
684572,3,2016
686542,3,2016
687678,3,2016
687745,3,2016
688039,3,2016
689252,3,2016
689297,3,2016
691144,3,2016
691186,3,2016
691317,3,2016
693166,3,2016
693217,3,2016
693781,3,2016
693796,3,2016
694455,3,2016
694684,3,2016
694834,3,2016
695958,3,2016
698243,3,2016
698707,3,2016
699658,3,2016
701556,3,2016
702348,3,2016
703870,3,2016
708834,3,2016
709105,3,2016
709433,3,2016
710091,3,2016
710654,3,2016
710903,3,2016
711010,3,2016
712101,3,2016
715672,3,2016
718279,3,2016
718392,3,2016
718828,3,2016
719137,3,2016
722830,3,2016
728132,3,2016
728388,3,2016
734771,3,2016
736470,3,2016
740038,3,2016
742281,3,2016
742970,3,2016
745216,3,2016
746508,3,2016
749100,3,2016
751897,3,2016
755663,3,2016
758018,3,2016
760159,3,2016
766680,3,2016
770246,3,2016
772529,3,2016
773732,3,2016
776776,3,2016
776831,3,2016
776980,3,2016
793848,3,2016
796976,3,2016
800657,3,2016
801421,3,2016
803248,3,2016
803634,3,2016
806826,3,2016
829652,3,2016
830464,3,2016
832368,3,2016
833202,3,2016
840028,3,2016
843504,3,2016
847454,3,2016
849643,3,2016
850464,3,2016
854555,3,2016
861823,3,2016
865323,3,2016
869760,3,2016
870268,3,2016
870662,3,2016
877152,3,2016
882479,3,2016
884462,3,2016
887516,3,2016
891506,3,2016
891793,3,2016
897114,3,2016
897327,3,2016
898792,3,2016
903326,3,2016
904347,3,2016
917372,3,2016
918266,3,2016
919593,3,2016
922026,3,2016
924179,3,2016
925916,3,2016
925979,3,2016
928247,3,2016
931883,3,2016
935624,3,2016
937344,3,2016
943274,3,2016
944917,3,2016
947704,3,2016
952868,3,2016
953444,3,2016
954280,3,2016
955628,3,2016
957012,3,2016
960700,3,2016
963831,3,2016
970259,3,2016
970876,3,2016
980625,3,2016
983131,3,2016
984746,3,2016
987989,3,2016
989432,3,2016
989631,3,2016
995479,3,2016
995690,3,2016
996871,3,2016
996901,3,2016
1000040,3,2016
1001323,3,2016
1002150,3,2016
1002525,3,2016
1006213,3,2016
1006818,3,2016
1007017,3,2016
1010494,3,2016
1013361,3,2016
1013681,3,2016
1013837,3,2016
1013996,3,2016
1014171,3,2016
1020067,3,2016
1020433,3,2016
1022143,3,2016
1025586,3,2016
1025702,3,2016
1029143,3,2016
1032276,3,2016
1034825,3,2016
1037704,3,2016
1041550,3,2016
1044102,3,2016
1047164,3,2016
